Order Date,Region,Category,Sales,Profit
4/18/2015,Central,Office Supplies,75.18,35.3346
4/18/2015,Central,Furniture,6.16,2.9568
4/18/2015,Central,Furniture,89.99,17.0981
12-11-2016,East,Office Supplies,15.26,6.2566
12-11-2016,East,Technology,1029.95,298.6855
6/17/2016,East,Office Supplies,208.56,52.14
6/17/2016,East,Office Supplies,32.4,15.552
6/17/2016,East,Furniture,319.41,7.098
6/17/2016,East,Office Supplies,14.56,6.9888
6/17/2016,East,Technology,30,3.3
6/17/2016,East,Office Supplies,48.48,16.362
6/17/2016,East,Office Supplies,1.68,0.84
11/24/2015,West,Technology,13.98,6.1512
11/24/2015,West,Office Supplies,25.824,9.3612
11/24/2015,West,Office Supplies,146.73,68.9631
11/24/2015,West,Furniture,79.76,22.3328
4/30/2015,Central,Furniture,213.115,-15.2225
12-05-2014,West,Office Supplies,1113.024,111.3024
12-05-2014,West,Technology,167.968,62.988
06-04-2016,South,Office Supplies,75.88,35.6636
9/18/2016,East,Office Supplies,4.616,1.731
9/14/2017,Central,Office Supplies,19.05,8.763
4/26/2015,South,Furniture,831.936,-114.3912
4/26/2015,South,Furniture,97.04,1.213
4/26/2015,South,Office Supplies,72.784,-18.196
12-09-2017,Central,Office Supplies,1.248,-1.9344
12-09-2017,Central,Furniture,9.708,-5.8248
12-09-2017,Central,Office Supplies,27.24,2.724
11/26/2014,Central,Furniture,19.3,-14.475
06-12-2016,South,Office Supplies,208.16,56.2032
06-12-2016,South,Office Supplies,16.74,8.0352
10-12-2014,West,Office Supplies,14.9,4.172
10-12-2014,West,Office Supplies,21.39,6.2031
09-03-2015,South,Office Supplies,200.984,62.8075
11/13/2017,Central,Office Supplies,230.376,-48.9549
5/28/2017,South,Furniture,301.96,33.2156
10/26/2017,Central,Technology,19.99,6.7966
10/26/2017,Central,Office Supplies,6.16,2.9568
04-05-2016,Central,Office Supplies,158.368,13.8572
9/17/2016,West,Office Supplies,20.1,6.633
9/17/2016,West,Technology,73.584,8.2782
9/17/2016,West,Office Supplies,6.48,3.1104
1/31/2015,Central,Office Supplies,12.96,6.2208
1/31/2015,Central,Furniture,53.34,16.5354
1/31/2015,Central,Office Supplies,32.96,16.1504
11-06-2017,West,Office Supplies,5.682,-3.788
11-09-2017,East,Furniture,96.53,40.5426
6/17/2017,West,Office Supplies,51.312,17.9592
09-06-2016,Central,Office Supplies,77.88,22.5852
8/29/2016,Central,Office Supplies,64.624,22.6184
8/29/2016,Central,Technology,95.976,-10.7973
8/29/2016,Central,Office Supplies,1.788,-3.0396
12-01-2016,Central,Office Supplies,23.92,11.7208
11/13/2015,West,Technology,238.896,-26.8758
11/13/2015,West,Furniture,102.36,-3.8385
11/13/2015,West,Office Supplies,36.882,-25.8174
11/23/2017,South,Technology,74.112,17.6016
11/23/2017,South,Technology,27.992,2.0994
11/23/2017,South,Office Supplies,3.304,1.0738
10/15/2015,Central,Technology,339.96,67.992
12/25/2017,East,Furniture,41.96,10.9096
11-03-2016,Central,Office Supplies,75.96,22.788
11-03-2016,Central,Office Supplies,27.24,13.3476
8/25/2014,East,Office Supplies,40.096,14.5348
8/25/2014,East,Office Supplies,4.72,1.652
8/25/2014,East,Office Supplies,23.976,7.4925
8/25/2014,East,Office Supplies,130.464,44.0316
03-02-2015,West,Furniture,787.53,165.3813
04-05-2015,South,Office Supplies,157.794,-115.7156
06-12-2016,East,Furniture,47.04,18.3456
06-12-2016,East,Office Supplies,30.84,13.878
06-12-2016,East,Office Supplies,226.56,63.4368
06-12-2016,East,Office Supplies,115.02,51.759
06-12-2016,East,Technology,68.04,19.7316
12/26/2014,Central,Furniture,600.558,-8.5794
9/20/2014,Central,Furniture,617.7,-407.682
11-05-2017,West,Office Supplies,2.388,-1.8308
11-05-2017,West,Office Supplies,243.992,30.499
11-06-2016,West,Furniture,81.424,-9.1602
11-06-2016,West,Furniture,238.56,26.2416
02-02-2017,East,Technology,59.97,-11.994
02-02-2017,East,Office Supplies,78.304,29.364
02-02-2017,East,Office Supplies,21.456,6.9732
10/13/2016,West,Office Supplies,20.04,9.6192
10/13/2016,West,Office Supplies,35.44,16.6568
10/13/2016,West,Office Supplies,11.52,3.456
10/13/2016,West,Office Supplies,4.02,1.9698
10/13/2016,West,Office Supplies,76.176,26.6616
10/13/2016,West,Office Supplies,65.88,18.4464
10/13/2016,West,Furniture,43.12,20.6976
09-05-2016,East,Furniture,82.8,10.35
9/18/2017,West,Office Supplies,8.82,2.3814
9/18/2017,West,Office Supplies,10.86,5.1042
9/18/2017,West,Office Supplies,143.7,68.976
12/22/2017,Central,Office Supplies,839.43,218.2518
09-07-2015,West,Office Supplies,671.93,20.1579
10/22/2014,East,Furniture,93.888,12.9096
12-05-2016,Central,Technology,384.45,103.8015
12-05-2016,Central,Technology,149.97,5.9988
12-05-2016,Central,Furniture,1951.84,585.552
12-05-2016,Central,Office Supplies,171.55,80.6285
3/13/2016,West,Office Supplies,157.92,17.766
3/13/2016,West,Technology,203.184,15.2388
5/31/2015,West,Office Supplies,58.38,26.271
5/31/2015,West,Office Supplies,105.52,48.5392
5/31/2015,West,Office Supplies,80.88,21.0288
5/28/2015,West,Office Supplies,6.63,1.7901
03-01-2014,West,Furniture,457.568,51.4764
11/20/2016,Central,Office Supplies,14.62,6.8714
11/20/2016,Central,Technology,944.93,236.2325
05-11-2016,West,Office Supplies,5.98,2.691
12/28/2015,East,Technology,54.384,1.3596
11/16/2016,West,Office Supplies,28.4,13.348
11-07-2016,West,Office Supplies,27.68,9.688
09-08-2014,Central,Office Supplies,9.936,2.7324
09-08-2014,Central,Technology,8159.952,-1359.992
09-08-2014,Central,Office Supplies,275.928,-58.6347
09-08-2014,Central,Furniture,1740.06,-24.858
09-08-2014,Central,Office Supplies,32.064,6.8136
09-08-2014,Central,Office Supplies,177.98,-453.849
09-08-2014,Central,Technology,143.976,8.9985
08-05-2014,West,Office Supplies,20.94,9.8418
08-05-2014,West,Office Supplies,110.96,53.2608
08-05-2014,West,Furniture,340.144,21.259
9/14/2014,Central,Office Supplies,52.448,-131.12
9/14/2014,Central,Office Supplies,20.16,6.552
4/21/2017,Central,Office Supplies,97.264,-243.16
11/21/2015,East,Furniture,396.802,-11.3372
11/21/2015,East,Office Supplies,15.88,-3.7715
12/15/2015,East,Office Supplies,3.28,1.4104
12-05-2014,Central,Office Supplies,24.816,1.8612
12-05-2014,Central,Technology,408.744,76.6395
11/19/2014,South,Technology,503.96,131.0296
11/19/2014,South,Technology,149.95,41.986
11/19/2014,South,Technology,29,7.25
11/28/2016,East,Office Supplies,7.16,3.4368
8/26/2014,West,Technology,176.8,22.984
7/16/2016,Central,Office Supplies,37.224,3.7224
7/16/2016,Central,Office Supplies,20.016,6.255
10-12-2015,East,Furniture,899.136,112.392
10-12-2015,East,Technology,71.76,20.0928
10-12-2015,East,Office Supplies,51.84,24.8832
10-12-2015,East,Furniture,626.352,46.9764
10-12-2015,East,Office Supplies,19.9,6.567
10/31/2015,West,Office Supplies,14.28,6.7116
3/21/2014,East,Office Supplies,7.408,1.2038
3/21/2014,East,Office Supplies,6.048,1.5876
11-06-2017,East,Office Supplies,46.26,12.0276
07-06-2017,East,Office Supplies,2.946,-2.2586
07-06-2017,East,Office Supplies,16.056,5.8203
6/24/2017,East,Office Supplies,21.744,6.795
08-03-2014,West,Furniture,218.75,-161.875
08-03-2014,West,Office Supplies,2.6,0.2925
12/17/2017,Central,Office Supplies,66.284,-178.9668
06-03-2017,South,Furniture,35.168,9.6712
12-09-2017,West,Technology,444.768,44.4768
12-01-2017,Central,Office Supplies,83.92,5.8744
12-01-2017,Central,Technology,131.98,35.6346
12-01-2017,Central,Office Supplies,15.92,7.4824
12-01-2017,Central,Office Supplies,52.29,16.2099
12-01-2017,Central,Office Supplies,91.99,3.6796
02-09-2015,Central,Technology,20.8,6.5
01-02-2015,East,Office Supplies,23.68,8.88
01-02-2015,East,Furniture,452.45,-244.323
01-02-2015,East,Technology,62.982,-14.6958
01-02-2015,East,Technology,1188,-950.4
01-02-2015,East,Technology,89.584,4.4792
10/28/2016,West,Office Supplies,93.06,26.0568
10/28/2016,West,Technology,302.376,22.6782
12/24/2015,East,Office Supplies,5.584,1.8148
12/24/2015,East,Office Supplies,22.704,8.2302
12/24/2015,East,Office Supplies,19.776,-13.8432
12/24/2015,East,Furniture,72.704,19.0848
12/24/2015,East,Technology,479.988,-383.9904
12/24/2015,East,Office Supplies,27.168,2.7168
08-09-2015,Central,Office Supplies,2.2,0.968
08-09-2015,Central,Furniture,622.45,136.939
08-09-2015,Central,Office Supplies,21.98,0.2198
2/28/2015,South,Furniture,161.568,-28.2744
2/28/2015,South,Furniture,389.696,43.8408
9/13/2014,South,Office Supplies,18.648,-12.432
04-07-2017,South,Furniture,233.86,-102.048
04-07-2017,South,Furniture,620.6145,-248.2458
04-07-2017,South,Office Supplies,5.328,-3.552
04-07-2017,South,Furniture,258.072,0
04-07-2017,South,Technology,617.976,-7.7247
11-12-2017,West,Office Supplies,10.56,4.752
06-04-2016,Central,Office Supplies,25.92,9.396
06-04-2016,Central,Furniture,419.68,-356.728
06-04-2016,Central,Furniture,11.688,-4.6752
06-04-2016,Central,Technology,31.984,11.1944
06-04-2016,Central,Furniture,177.225,-120.513
06-04-2016,Central,Furniture,4.044,-2.8308
06-04-2016,Central,Office Supplies,7.408,1.2038
06-01-2014,Central,Furniture,2001.86,580.5394
06-01-2014,Central,Office Supplies,166.72,41.68
06-01-2014,Central,Office Supplies,47.88,23.94
06-01-2014,Central,Office Supplies,1503.25,496.0725
06-01-2014,Central,Office Supplies,25.92,12.4416
12-10-2016,West,Furniture,321.568,28.1372
09-11-2016,West,Office Supplies,7.61,3.5767
09-11-2016,West,Technology,3347.37,636.0003
12-10-2016,East,Office Supplies,80.58,22.5624
12-10-2016,East,Office Supplies,361.92,162.864
11/28/2015,Central,Furniture,12.132,-8.4924
11/28/2015,Central,Office Supplies,82.368,-19.5624
11/28/2015,Central,Office Supplies,53.92,4.044
11/28/2015,Central,Technology,647.904,56.6916
12-01-2017,East,Technology,20.37,6.9258
12-01-2017,East,Office Supplies,221.55,6.6465
12-01-2017,East,Office Supplies,17.52,6.132
06-08-2017,Central,Office Supplies,1.624,-4.466
9/19/2014,Central,Technology,3059.982,-509.997
9/19/2014,Central,Technology,2519.958,-251.9958
06-06-2016,Central,Technology,328.224,28.7196
11-10-2015,West,Technology,79.9,35.156
6/16/2017,South,Office Supplies,14.016,4.7304
1/22/2016,East,Office Supplies,7.56,0.3024
12-09-2017,East,Office Supplies,37.208,-7.4416
12-09-2017,East,Office Supplies,57.576,21.591
12/28/2017,West,Office Supplies,725.84,210.4936
7/30/2015,West,Technology,209.93,92.3692
7/30/2015,West,Furniture,5.28,2.3232
7/30/2015,West,Office Supplies,10.92,4.095
9/16/2017,West,Office Supplies,8.82,4.0572
9/16/2017,West,Office Supplies,5.98,1.5548
10/13/2017,East,Office Supplies,11.648,4.0768
10/13/2017,East,Office Supplies,18.176,5.9072
10/13/2017,East,Office Supplies,59.712,5.9712
10/13/2017,East,Office Supplies,24.84,8.694
9/26/2015,Central,Office Supplies,2.08,-3.432
9/26/2015,Central,Technology,1114.4,376.11
11-02-2015,West,Furniture,1038.84,51.942
9/26/2015,West,Office Supplies,141.76,47.844
9/26/2015,West,Technology,239.8,47.96
9/26/2015,West,Office Supplies,31.104,10.8864
12/18/2016,South,Office Supplies,254.058,-169.372
12/18/2016,South,Office Supplies,194.528,24.316
12/18/2016,South,Office Supplies,961.48,-204.3145
11/20/2016,East,Office Supplies,19.096,6.6836
11/20/2016,East,Office Supplies,18.496,6.2424
11/20/2016,East,Technology,255.984,54.3966
11/20/2016,East,Furniture,86.97,-48.7032
12/26/2014,West,Furniture,300.416,78.8592
12/26/2014,West,Furniture,230.352,20.1558
12/26/2014,West,Furniture,218.352,-24.5646
12/26/2014,West,Office Supplies,78.6,-62.88
12/26/2014,West,Office Supplies,27.552,9.2988
10/28/2016,East,Office Supplies,32.4,15.552
10/28/2016,East,Office Supplies,1082.48,10.8248
10/28/2016,East,Office Supplies,56.91,27.3168
10/28/2016,East,Furniture,77.6,38.024
10/28/2016,East,Office Supplies,14.28,6.5688
11/19/2017,Central,Furniture,219.075,-131.445
05-04-2015,East,Furniture,26.8,12.864
12/30/2014,Central,Office Supplies,9.84,2.8536
06-01-2014,East,Office Supplies,45.48,20.9208
06-01-2014,East,Office Supplies,289.2,83.868
4/15/2017,South,Office Supplies,4.89,2.0049
09-12-2016,West,Furniture,15.136,3.5948
09-12-2016,West,Furniture,466.768,52.5114
09-12-2016,West,Furniture,15.232,1.7136
09-12-2016,West,Office Supplies,6.264,2.0358
9/27/2014,East,Furniture,87.54,37.6422
08-09-2014,South,Technology,178.384,22.298
08-09-2014,South,Office Supplies,15.552,5.4432
12/28/2014,East,Office Supplies,99.136,8.6744
11-04-2014,East,Furniture,135.882,24.1568
11-04-2014,East,Technology,3991.98,1995.99
11-04-2014,East,Technology,275.94,80.0226
11-04-2014,East,Technology,360,129.6
11-04-2014,East,Office Supplies,43.57,13.071
9/19/2014,West,Office Supplies,7.16,3.58
4/23/2016,West,Office Supplies,251.52,81.744
4/23/2016,West,Technology,99.99,34.9965
11-03-2017,South,Furniture,15.992,0.9995
8/30/2016,East,Technology,290.898,-67.8762
8/30/2016,East,Office Supplies,54.224,3.389
8/30/2016,East,Furniture,786.744,-258.5016
8/30/2016,East,Office Supplies,100.24,33.831
8/30/2016,East,Office Supplies,37.764,-27.6936
4/25/2016,East,Technology,82.8,-20.7
4/25/2016,East,Office Supplies,20.724,-13.816
4/25/2016,East,Office Supplies,4.896,-3.4272
09-01-2015,West,Office Supplies,4.752,1.6038
09-01-2015,West,Technology,959.984,335.9944
09-01-2015,West,Office Supplies,14.368,4.49
07-12-2014,West,Office Supplies,7.712,2.7956
07-12-2014,West,Furniture,698.352,-17.4588
6/22/2015,West,Office Supplies,4.96,2.3312
4/13/2014,East,Office Supplies,17.856,1.116
4/13/2014,East,Office Supplies,509.97,-407.976
4/13/2014,East,Office Supplies,30.992,10.0724
4/13/2014,East,Technology,71.928,8.3916
12/20/2015,Central,Office Supplies,88.8,-2.22
6/15/2017,West,Technology,47.976,4.7976
07-08-2017,East,Office Supplies,7.56,3.0996
07-08-2017,East,Office Supplies,24.56,11.5432
07-08-2017,East,Office Supplies,12.96,4.1472
09-01-2016,East,Technology,6.79,2.3086
09-01-2016,East,Office Supplies,24.56,11.5432
09-01-2016,East,Office Supplies,3.048,1.0668
09-01-2016,East,Office Supplies,49.12,23.0864
09-01-2016,East,Office Supplies,4355.168,1415.4296
04-08-2016,East,Furniture,388.704,-4.8588
04-08-2016,East,Office Supplies,8.26,3.7996
04-08-2016,East,Office Supplies,17.04,6.9864
04-08-2016,East,Office Supplies,34.4,15.824
4/23/2016,South,Office Supplies,36.24,11.325
03-08-2017,South,Office Supplies,647.84,168.4384
03-08-2017,South,Office Supplies,20.7,9.936
9/25/2017,East,Office Supplies,20.7,9.936
9/25/2017,East,Furniture,488.646,86.8704
9/25/2017,East,Office Supplies,5.56,1.4456
9/25/2017,East,Furniture,47.12,20.7328
9/24/2014,West,Office Supplies,211.96,8.4784
10/21/2016,East,Office Supplies,23.2,10.44
10/21/2016,East,Office Supplies,7.36,0.1472
10/21/2016,East,Office Supplies,104.79,29.3412
10/21/2016,East,Furniture,1043.92,271.4192
5/29/2017,Central,Office Supplies,25.92,9.396
5/29/2017,Central,Office Supplies,53.424,4.6746
7/23/2014,West,Office Supplies,8.16,-5.712
7/23/2014,West,Technology,1023.936,179.1888
7/23/2014,West,Office Supplies,9.24,0.924
7/23/2014,West,Technology,479.04,-29.94
9/28/2016,Central,Office Supplies,99.136,30.98
8/27/2017,East,Furniture,1488.424,-297.6848
4/28/2015,Central,Office Supplies,8.652,-20.3322
4/28/2015,Central,Office Supplies,23.832,2.6811
4/28/2015,Central,Office Supplies,12.176,-18.8728
10/28/2016,West,Office Supplies,50.96,25.48
10/28/2016,West,Office Supplies,49.536,17.3376
6/26/2015,Central,Technology,41.9,8.799
11/27/2015,South,Furniture,375.4575,-157.0095
11/27/2015,South,Technology,83.976,-1.0497
12-03-2015,East,Technology,482.34,-337.638
12-03-2015,East,Furniture,2.96,0.777
11/24/2014,East,Office Supplies,2.624,0.4264
12-11-2017,East,Office Supplies,23.36,7.884
12-11-2017,East,Technology,39.98,13.5932
9/21/2014,West,Technology,246.384,27.7182
9/21/2014,West,Technology,1799.97,701.9883
06-07-2014,Central,Office Supplies,12.462,-20.5623
6/30/2017,West,Office Supplies,75.792,25.5798
10/17/2017,East,Office Supplies,49.96,9.4924
10/17/2017,East,Office Supplies,12.96,6.2208
10/31/2015,Central,Office Supplies,70.12,21.036
09-08-2016,Central,Office Supplies,35.952,3.5952
09-08-2016,Central,Furniture,2396.2656,-317.1528
09-08-2016,Central,Office Supplies,131.136,-32.784
09-08-2016,Central,Technology,57.584,0.7198
12/24/2014,South,Office Supplies,9.568,3.4684
4/16/2014,South,Office Supplies,39.072,9.768
12/24/2017,East,Office Supplies,35.91,9.6957
12-08-2017,West,Technology,179.95,37.7895
12-08-2017,West,Technology,1199.976,434.9913
12-08-2017,West,Office Supplies,27.15,13.3035
12-08-2017,West,Furniture,1004.024,-112.9527
12-08-2017,West,Office Supplies,9.68,4.6464
12-08-2017,West,Office Supplies,28.35,13.608
12-08-2017,West,Office Supplies,55.98,27.4302
12-08-2017,West,Furniture,1336.829,31.4548
12-08-2017,West,Furniture,113.568,-18.4548
11-03-2017,West,Office Supplies,139.86,65.7342
11-03-2017,West,Furniture,307.136,26.8744
6/24/2017,West,Office Supplies,95.92,25.8984
4/14/2016,West,Furniture,383.8,38.38
11-06-2017,South,Office Supplies,5.78,2.8322
03-04-2017,West,Office Supplies,9.32,2.7028
03-04-2017,West,Office Supplies,15.25,7.015
6/22/2014,West,Technology,196.752,56.5662
10/19/2017,East,Furniture,56.56,14.7056
10/19/2017,East,Office Supplies,32.7,8.502
8/21/2017,South,Furniture,866.4,225.264
11/23/2017,Central,Furniture,28.4,11.076
11/23/2017,Central,Office Supplies,287.92,138.2016
09-12-2014,East,Technology,69.99,30.0957
10-01-2017,Central,Office Supplies,6.672,0.5004
4/15/2016,South,Office Supplies,189.588,-145.3508
4/15/2016,South,Technology,408.744,76.6395
4/15/2016,South,Technology,291.96,54.7425
4/15/2016,South,Office Supplies,4.768,-0.7748
06-06-2016,East,Office Supplies,714.3,207.147
12/19/2014,South,Office Supplies,4.812,-3.6892
12/19/2014,South,Technology,247.8,-18.585
06-12-2016,Central,Technology,1007.979,43.1991
06-12-2016,Central,Office Supplies,313.488,113.6394
9/15/2017,Central,Office Supplies,31.872,11.5536
1/20/2017,East,Furniture,207.846,2.3094
09-05-2016,Central,Furniture,12.22,3.666
09-05-2016,Central,Office Supplies,194.94,23.3928
09-05-2016,Central,Office Supplies,70.95,20.5755
09-05-2016,Central,Office Supplies,91.36,42.0256
09-05-2016,Central,Furniture,242.94,29.1528
09-05-2016,Central,Office Supplies,22.05,10.584
3/20/2017,Central,Furniture,2.91,1.3677
04-01-2016,East,Office Supplies,59.52,15.4752
04-01-2016,East,Office Supplies,161.94,9.7164
04-01-2016,East,Office Supplies,263.88,71.2476
04-01-2016,East,Office Supplies,30.48,7.9248
04-01-2016,East,Office Supplies,9.84,2.8536
04-01-2016,East,Technology,35.12,9.1312
10/20/2017,East,Furniture,284.364,-75.8304
10/20/2017,East,Office Supplies,665.408,66.5408
12/13/2016,Central,Technology,63.88,24.9132
02-12-2014,West,Furniture,129.568,-24.294
9/26/2016,Central,Furniture,747.558,-96.1146
9/26/2016,Central,Office Supplies,8.928,3.348
12/15/2015,West,Office Supplies,103.92,36.372
12/15/2015,West,Technology,899.91,377.9622
12/15/2015,West,Office Supplies,51.312,18.6006
4/22/2016,West,Furniture,23.56,7.068
4/22/2016,West,Furniture,1272.63,-814.4832
4/22/2016,West,Office Supplies,28.485,-20.889
4/22/2016,West,Office Supplies,185.376,-34.758
4/22/2016,West,Office Supplies,78.272,5.8704
1/17/2015,Central,Furniture,254.744,-312.0614
3/31/2017,Central,Furniture,205.3328,-36.2352
12/16/2016,Central,Office Supplies,4.788,-7.9002
12/20/2015,East,Office Supplies,55.48,26.6304
11-09-2014,West,Office Supplies,340.92,3.4092
11-09-2014,West,Furniture,222.666,10.4784
11-09-2014,West,Technology,703.968,87.996
11-09-2014,West,Office Supplies,92.52,24.9804
11-09-2014,West,Office Supplies,62.65,28.819
11-09-2014,West,Office Supplies,94.85,45.528
07-12-2016,West,Technology,95.76,7.182
10/27/2016,East,Furniture,40.2,19.296
6/26/2016,East,Office Supplies,14.7,6.615
6/26/2016,East,Office Supplies,704.25,84.51
10-06-2014,West,Technology,9.09,1.9089
7/22/2014,East,Office Supplies,5.96,1.6688
7/22/2014,East,Technology,159.98,57.5928
06-10-2017,West,Office Supplies,29.6,14.8
06-10-2017,West,Furniture,514.165,-30.245
06-10-2017,West,Technology,279.96,17.4975
10/29/2014,Central,Technology,2735.952,341.994
06-09-2014,Central,Technology,7.992,0.5994
06-09-2014,Central,Technology,63.984,10.3974
06-09-2014,Central,Office Supplies,70.368,6.1572
9/14/2014,East,Office Supplies,449.15,8.983
9/14/2014,East,Office Supplies,11.07,5.0922
05-09-2016,West,Technology,93.98,13.1572
3/18/2016,South,Furniture,189.882,-94.941
12/27/2015,South,Office Supplies,105.42,51.6558
7/25/2016,West,Office Supplies,119.616,40.3704
7/25/2016,West,Furniture,255.76,81.8432
7/25/2016,West,Furniture,241.568,18.1176
7/25/2016,West,Furniture,69.3,22.869
5/30/2016,West,Office Supplies,22.62,-15.08
5/30/2016,West,Office Supplies,14.952,-11.9616
5/30/2016,West,Furniture,801.568,50.098
5/30/2016,West,Office Supplies,2.376,-1.9008
5/30/2016,West,Office Supplies,32.792,11.8871
11-12-2017,East,Office Supplies,15.92,5.373
3/16/2015,South,Office Supplies,2.74,0.7398
3/16/2015,South,Office Supplies,8.34,2.1684
3/16/2015,South,Office Supplies,46.74,11.685
3/16/2015,South,Office Supplies,6354.95,3177.475
11/26/2017,Central,Furniture,126.3,40.416
11/26/2017,Central,Technology,38.04,12.1728
10/20/2016,East,Office Supplies,7.152,0.7152
12/21/2017,West,Office Supplies,6.63,1.7901
12/21/2017,West,Office Supplies,5.88,1.7052
1/22/2017,West,Technology,2999.95,1379.977
1/22/2017,West,Office Supplies,51.45,13.8915
1/22/2017,West,Office Supplies,11.96,5.382
1/22/2017,West,Office Supplies,1126.02,56.301
3/22/2015,Central,Technology,18.392,5.2877
3/22/2015,Central,Office Supplies,129.568,-25.9136
3/22/2015,Central,Office Supplies,14.112,-21.168
1/23/2017,Central,Furniture,210.98,21.098
5/21/2016,West,Technology,55.176,-12.4146
5/21/2016,West,Technology,66.26,27.1666
12/26/2015,East,Office Supplies,22.2,10.434
10/21/2017,South,Furniture,683.952,42.747
10/21/2017,South,Furniture,45.696,5.1408
09-03-2015,East,Office Supplies,36.336,-7.2672
09-03-2015,East,Office Supplies,666.248,-149.9058
09-03-2015,East,Office Supplies,52.512,19.692
11-07-2015,West,Furniture,190.72,11.92
09-07-2017,West,Furniture,47.94,2.397
5/29/2016,South,Technology,979.95,274.386
5/29/2016,South,Office Supplies,22.75,11.375
07-10-2016,West,Office Supplies,16.768,1.4672
09-03-2017,Central,Office Supplies,42.616,-68.1856
12-03-2015,East,Office Supplies,10.752,3.36
12-07-2015,South,Office Supplies,152.94,41.2938
12-07-2015,South,Furniture,283.92,70.98
02-01-2014,Central,Technology,468.9,206.316
7/14/2016,West,Technology,380.864,38.0864
12/18/2015,East,Office Supplies,646.776,-145.5246
05-11-2014,Central,Technology,58.112,7.264
05-11-2014,Central,Technology,100.792,6.2995
05-11-2014,Central,Furniture,66.112,-84.2928
11/19/2017,East,Office Supplies,41.28,13.932
11/19/2017,East,Office Supplies,13.36,6.4128
11/15/2015,Central,Office Supplies,250.272,15.642
11/15/2015,Central,Office Supplies,11.364,-17.046
11/15/2015,Central,Office Supplies,8.72,-1.744
4/15/2016,West,Furniture,1121.568,0
09-11-2017,South,Furniture,34.504,6.0382
11/24/2017,Central,Office Supplies,10.824,2.5707
6/29/2017,West,Office Supplies,1295.78,310.9872
03-03-2014,South,Office Supplies,19.456,3.4048
06-10-2016,West,Office Supplies,20.7,9.936
06-10-2016,West,Furniture,1335.68,-217.048
06-10-2016,West,Office Supplies,32.4,15.552
11/20/2017,West,Furniture,42.6,16.614
11/20/2017,West,Office Supplies,84.056,27.3182
9/14/2014,South,Office Supplies,13,1.3
9/14/2014,South,Furniture,13.128,3.7743
12-07-2015,West,Office Supplies,3.96,0
12-07-2015,West,Office Supplies,2.61,1.2006
12-07-2017,West,Technology,374.376,46.797
10-01-2017,West,Office Supplies,91.84,45.0016
10-01-2017,West,Office Supplies,81.088,27.3672
10-01-2017,West,Office Supplies,19.44,9.3312
10-01-2017,West,Furniture,451.152,0
12/28/2017,East,Office Supplies,72.45,34.776
12/28/2017,East,Office Supplies,13.96,6.4216
12/28/2017,East,Office Supplies,33.264,11.2266
12/28/2017,East,Technology,14.85,4.0095
11-03-2016,West,Office Supplies,8.82,2.3814
9/18/2015,West,Office Supplies,160.72,78.7528
9/18/2015,West,Office Supplies,19.92,9.7608
